,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
0,Guatemala,SAN RAFAEL URIAS,11/54876/01,"SU BENEFICIO, S. A.",11/54876/01,"VALBROS, S. A.",5650,ANTIGUA GUATEMALA,"VALDROS, S. A.",50,69 kg,Asociacion Nacional Del Café,2021,"May 28th, 2021",Angelica Paola Citan Lopez,Bourbon,Completed,Washed / Wet,7.67,8.08,7.75,7.75,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.75,10.9 %,0 full defects,3,Green,3 full defects,,"May 28th, 2022",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
0,Colombia,Sucafina Colombia SAS,3-0960-01793,Sucafina Colombia SAS,3-0960-01793,Sucafina Colombia SAS,1300,Huila,Sucafina Colombia SAS,275,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2020,"September 8th, 2020",Sucafina Colombia SAS,Caturra,Completed,Washed / Wet,7.92,7.75,7.67,8.0,7.83,7.83,10.0,10.0,10.0,7.75,0.0,84.75,11 %,0 full defects,2,Green,1 full defects,,"September 8th, 2021",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,calle 70a #7-82 of. 602,Gabriela Salcedo - 3186238650
0,Nicaragua,Aldea Global,P48161,Aldea Coffee,017/191/1841,Asociación Aldea Global Jinotega,1100,Matagalpa,Aldea Global,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2019,"September 9th, 2020",Asociación Aldea Global Jinotega,SHG,Completed,Washed / Wet,7.83,7.67,7.58,7.83,8.0,7.83,10.0,10.0,10.0,7.92,0.0,84.67,0 %,0 full defects,0,Green,1 full defects,,"September 9th, 2021",Asociación de Cafés Especiales de Nicaragua,"Del Hotel Seminole 2 C al lago, 1 C arriba.",Maria Ines Benavidez Toval - 011-(505)-8396 4717
0,Colombia,Los Guacharos various,3-0960-01516,Trilladora BBI,3-0960-01516,Sucafina Colombia SAS,1400+,Huila,Los Guacharos,160,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021,"March 4th, 2021",Sucafina Colombia SAS,Other,Completed,Washed / Wet,7.92,7.83,7.67,8.0,7.83,7.67,10.0,10.0,10.0,7.67,0.0,84.58,11.8 %,0 full defects,0,Bluish-Green,1 full defects,,"March 4th, 2022",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,calle 70a #7-82 of. 602,Gabriela Salcedo - 3186238650
0,Kenya,Various,37/1673/5093,Various,37/1673/5093,"NIPPON COFFEE TRADING CO.,LTD.",1450,Various,Various,238,60 kg,Japan Coffee Exchange,2020,"February 18th, 2021",Yukinobu Ueda,SL28,Completed,Washed / Wet,7.92,7.75,7.75,7.75,7.58,7.83,10.0,10.0,10.0,7.75,0.0,84.33,11.5 %,0 full defects,0,greenish,3 full defects,,"February 18th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,Nicaragua,,1573236,CISA / MERCON,017-001-0487,Nestle Nespresso SA,1600,Matagalpa,CISA-MERCON,320,69 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2019,"November 3rd, 2020",Alexis Rodriguez,Pacamara,Completed,Washed / Wet,8.0,7.83,7.75,7.75,7.67,7.58,10.0,10.0,10.0,7.67,0.0,84.25,11 %,0 full defects,1,Greenish,4 full defects,,"November 3rd, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Gloria Pedroza - +41417287296
0,"Tanzania, United Republic Of",Finagro Plantations Ltd,K28715,Arusha Coffee Mill Ltd,,Coffee Exporters Ltd,1750,"Oldeani, Ngorongoro",Finagro Plantations ltd,300,60 kg,Kenya Coffee Traders Association,2020 / 2021,"November 18th, 2020",kavita vohora,Orange Bourbon,Completed,Washed / Wet,7.75,7.75,7.75,7.83,7.83,7.58,10.0,10.0,10.0,7.75,0.0,84.25,11.5 %,0 full defects,0,Green,6 full defects,,"November 18th, 2021",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621
0,Brazil,CACHOEIRA DA GRAMA,43106720 - K28761,Hulling Facility,002/4542/0108,BOURBON SPECIALTY COFFEES,1100,SUL DE MINAS,GABRIEL DE CARVALHO DIAS,300,59 kg,Brazil Specialty Coffee Association,2020 / 2021,"December 18th, 2020",Bourbon Specialty Coffees SA,Yellow Bourbon,Completed,Pulped natural / honey,7.75,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.25,11.5 %,0 full defects,1,Green,4 full defects,,"December 18th, 2021",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Guatemala,VARIAS FINCAS,11/15/115,VARIOS BENEFICIOS,11/15/115,"PETER SCHOENFELD, S. A.",1600,HUEHUETENANGO,VARIOS PRODUCTORES,250,69 kg,Asociacion Nacional Del Café,2021,"May 27th, 2021",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.67,7.92,7.67,7.67,7.75,7.67,10.0,10.0,10.0,7.83,0.0,84.17,10.6 %,0 full defects,2,Green,2 full defects,,"May 27th, 2022",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
0,Colombia,EL PRADO,3-59-03034,NEIVA,3-59-03034,carcafe ltda,442,HUILA,FRANKLIN DUSSAN,150,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2020,"August 27th, 2020",rodrigo amaya,Caturra,Completed,Washed / Wet,7.83,7.75,7.58,7.58,7.92,7.75,10.0,10.0,10.0,7.75,0.0,84.17,11 %,0 full defects,0,Green,3 full defects,,"August 27th, 2021",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,calle 70a #7-82 of. 602,Gabriela Salcedo - 3186238650
0,Brazil,Fazenda Cachoeira,S012895-1,DRY MILL,002/1145/0784,Olam Agricola,1150,Cerrado,Danilo Barbosa,1280,76800 kg,Brazil Specialty Coffee Association,2020,"January 20th, 2021",Welson de Lacerda Barbosa,Catuai,Completed,Natural / Dry,7.75,7.75,7.58,7.75,7.92,7.67,10.0,10.0,10.0,7.67,0.0,84.08,11.5 %,0 full defects,1,Green,5 full defects,,"January 20th, 2022",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Honduras,Las Cuchillas,131,Dry Mill,13-111-092,Mercon Honduras,1450,COMAYAGUA,Nahun Maldonadp,200,69 kg,Instituto Hondureño del Café,2021,"April 24th, 2021",Juan Manuel Sanchez Silvestre,Caturra,Completed,Washed / Wet,7.92,7.83,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,84.08,11 %,0 full defects,0,Green,1 full defects,,"April 24th, 2022",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
0,Guatemala,VARIAS FINCAS,11/15/135,LINEA GOURMET,11/15/135,"PETER SCHOENFELD, S. A.",1600,SIERRA DE LAS MINAS,VARIOS PRODUCTORES,250,69 kg,Asociacion Nacional Del Café,2020,"May 27th, 2021",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.58,10.0,10.0,10.0,7.75,0.0,84.08,10.6 %,0 full defects,2,Green,3 full defects,,"May 27th, 2022",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
0,Burundi,GISHA,1150,BUDECA,27/01,BUGESTAL,1666,Ngozi,BUGESTAL,320,60 kg,Kenya Coffee Traders Association,2020,"August 18th, 2020",BUGESTAL SPRL,Bourbon,Completed,Washed / Wet,7.58,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,0.0,84.08,10 %,0 full defects,0,Green,1 full defects,,"August 18th, 2021",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621
0,Guatemala,,1567454,Beneficio Central - EFICO,011-030-575,Nestle Nespresso SA,1600,Fraijanes,,275,69 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2019,"November 4th, 2020",Alexis Rodriguez,Other,Completed,Washed / Wet,8.08,7.83,7.67,7.67,7.42,7.67,10.0,10.0,10.0,7.67,0.0,84.0,11 %,1 full defects,2,Greenish,4 full defects,,"November 4th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Gloria Pedroza - +41417287296
0,Colombia,,3-01-10540,Almacafé Manizales - Trilladora Estación Uribe,3-01-10540,Federación Nacional de Cafeteros,1750,Caldas,FNC - Several coffee growers,275,19250 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2020 / 2021,"November 30th, 2020",Federación Nacional de Cafeteros - Logística Comercial,Other,Completed,Washed / Wet,7.83,7.83,7.58,7.83,7.67,7.67,10.0,10.0,10.0,7.58,0.0,84.0,11.5 %,1 full defects,2,Green,4 full defects,,"November 30th, 2021",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,calle 70a #7-82 of. 602,Gabriela Salcedo - 3186238650
0,Colombia,EL PRADO,3-59-1485,NEIVA,3-59-1485,carcafe ltda,442,HUILA,FRANKLIN DUSSAN,100,29 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021,"February 1st, 2021",rodrigo amaya,Caturra,Completed,Washed / Wet,7.92,7.83,7.5,7.83,7.67,7.58,10.0,10.0,10.0,7.67,0.0,84.0,11.5 %,0 full defects,2,Green,1 full defects,,"February 1st, 2022",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,calle 70a #7-82 of. 602,Gabriela Salcedo - 3186238650
0,Guatemala,FINCA LA BURBUJA,11/63/390,,11/63/390,"RETRILLAS DEL PACIFICO, S. A.",1800,HUEHUETENANGO,MARISA JUDITH HERRERA VILLATORO,250,69 kg,Asociacion Nacional Del Café,2021,"April 29th, 2021",Angelica Paola Citan Lopez,Typica,Completed,Washed / Wet,7.58,7.92,7.67,7.75,7.75,7.58,10.0,10.0,10.0,7.67,0.0,83.92,10.6 %,0 full defects,2,Green,5 full defects,,"April 29th, 2022",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
0,Guatemala,Not Specificated,11/63/712,Dry Mill of Exportcafe,,Marubeni Corporation,1300-1800,Guatemala Huehuetenango,"Exportcafe, S.A.",275,69 kg,Japan Coffee Exchange,2020,"September 1st, 2020",Ikuto Uehara,Other,Completed,Washed / Wet,7.92,7.75,7.58,7.75,7.5,7.75,10.0,10.0,10.0,7.67,0.0,83.92,12 %,0 full defects,1,Green,0 full defects,,"September 1st, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,Colombia,EL PRADO,3-59-02703,NEIVA,3-59-2703,carcafe ltda,442,HUILA,FRANKLIN DUSSAN,200,29 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2020,"October 2nd, 2020",rodrigo amaya,Caturra,Completed,Washed / Wet,7.83,7.67,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.42,0.0,83.83,10.5 %,0 full defects,1,Green,1 full defects,,"October 2nd, 2021",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,calle 70a #7-82 of. 602,Gabriela Salcedo - 3186238650
0,Honduras,Not specificated,13/186/048,Dry Mill of Safracafe,13/186/048,Marubeni Corporation,1200-1500,Honduras Copan,Aprocafesca,285,69 kg,Japan Coffee Exchange,2020,"October 27th, 2020",Ikuto Uehara,Other,Completed,Washed / Wet,7.75,7.75,7.75,7.67,7.5,7.67,10.0,10.0,10.0,7.75,0.0,83.83,11.5 %,0 full defects,1,Green,2 full defects,,"October 27th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,Guatemala,LAS ROSAS,415000557,,11-63-1257,"RETRILLAS DEL PACIFICO, S. A.",1500,HUEHUETENANGO,ROLANDO BELARMINO VILLATORO VILLATORO,275,69 kg,Asociacion Nacional Del Café,2020,"July 7th, 2020",Byron Gonzalez,Bourbon,Completed,Natural / Dry,7.5,7.92,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.83,0.0,83.83,11 %,0 full defects,1,Green,4 full defects,,"July 7th, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
